month,product_group_id,product_group_name,market_revenue,revenue_amazon
2024-01-01,1,Portable Computers,14766072832.0,3924268800.0
2024-02-01,1,Portable Computers,14277839872.0,3138822656.0
2024-03-01,1,Portable Computers,15431513088.0,3825471488.0
2024-04-01,1,Portable Computers,12806660096.0,2907468800.0
2024-05-01,1,Portable Computers,14091326464.0,3918432768.0
2024-06-01,1,Portable Computers,10730754048.0,2709764096.0
2024-07-01,1,Portable Computers,13802546176.0,3877814784.0
2024-08-01,1,Portable Computers,11961133056.0,2932411136.0
2024-09-01,1,Portable Computers,11347162112.0,2862320896.0
2024-10-01,1,Portable Computers,11739056128.0,3006313984.0
2024-11-01,1,Portable Computers,14251820032.0,3781960448.0
2024-12-01,1,Portable Computers,11553680384.0,2871108864.0
2024-01-01,2,Cooling Systems,5968134144.0,571775168.0
2024-02-01,2,Cooling Systems,6422648320.0,566930432.0
2024-03-01,2,Cooling Systems,6438861824.0,505406656.0
2024-04-01,2,Cooling Systems,6524294144.0,573108992.0
2024-05-01,2,Cooling Systems,6488558592.0,548905984.0
2024-06-01,2,Cooling Systems,6619909120.0,457604160.0
2024-07-01,2,Cooling Systems,6155137024.0,474310496.0
2024-08-01,2,Cooling Systems,6392670720.0,448470976.0
2024-09-01,2,Cooling Systems,6251476480.0,508165504.0
2024-10-01,2,Cooling Systems,6334806016.0,475817568.0
2024-11-01,2,Cooling Systems,6308382208.0,462900096.0
2024-12-01,2,Cooling Systems,6260089344.0,467515008.0
2024-01-01,3,Frozen Storage Units,1404744064.0,148987504.0
2024-02-01,3,Frozen Storage Units,1375303680.0,133230248.0
2024-03-01,3,Frozen Storage Units,1426290944.0,157501248.0
2024-04-01,3,Frozen Storage Units,1410219904.0,165744432.0
2024-05-01,3,Frozen Storage Units,1589293056.0,170249376.0
2024-06-01,3,Frozen Storage Units,1593353344.0,149539456.0
2024-07-01,3,Frozen Storage Units,1695002880.0,178586672.0
2024-08-01,3,Frozen Storage Units,1652313344.0,171839696.0
2024-09-01,3,Frozen Storage Units,1578412800.0,174139616.0
2024-10-01,3,Frozen Storage Units,1316639872.0,138680160.0
2024-11-01,3,Frozen Storage Units,1337460352.0,153597520.0
2024-12-01,3,Frozen Storage Units,1442253568.0,148052080.0
2024-01-01,4,Laundry Machines,7337192960.0,532180992.0
2024-02-01,4,Laundry Machines,6290844672.0,558857728.0
2024-03-01,4,Laundry Machines,7718972928.0,614035136.0
2024-04-01,4,Laundry Machines,7852726784.0,573755968.0
2024-05-01,4,Laundry Machines,8332169216.0,647586816.0
2024-06-01,4,Laundry Machines,8005779968.0,669110144.0
2024-07-01,4,Laundry Machines,6208764416.0,602704832.0
2024-08-01,4,Laundry Machines,7482841600.0,745658880.0
2024-09-01,4,Laundry Machines,8080175616.0,721377152.0
2024-10-01,4,Laundry Machines,7420635648.0,613274304.0
2024-11-01,4,Laundry Machines,6084957696.0,569794816.0
2024-12-01,4,Laundry Machines,7036169216.0,523916384.0
2024-01-01,5,Dish Cleaning Machines,1755442304.0,214861152.0
2024-02-01,5,Dish Cleaning Machines,1713370240.0,244870192.0
2024-03-01,5,Dish Cleaning Machines,1480396160.0,229053264.0
2024-04-01,5,Dish Cleaning Machines,1556692096.0,211188208.0
2024-05-01,5,Dish Cleaning Machines,1612483968.0,238578432.0
2024-06-01,5,Dish Cleaning Machines,1534907776.0,265152816.0
2024-07-01,5,Dish Cleaning Machines,1547268992.0,250001904.0
2024-08-01,5,Dish Cleaning Machines,1734025088.0,256221984.0
2024-09-01,5,Dish Cleaning Machines,1541842048.0,224882464.0
2024-10-01,5,Dish Cleaning Machines,1443470848.0,220288816.0
2024-11-01,5,Dish Cleaning Machines,1446238976.0,209424816.0
2024-12-01,5,Dish Cleaning Machines,1326075264.0,205471600.0
2024-01-01,6,Microwave Cookers,1443890304.0,189092736.0
2024-02-01,6,Microwave Cookers,1587893888.0,190994400.0
2024-03-01,6,Microwave Cookers,1665312128.0,206025296.0
2024-04-01,6,Microwave Cookers,1392432896.0,188964064.0
2024-05-01,6,Microwave Cookers,1550868736.0,216213760.0
2024-06-01,6,Microwave Cookers,1660380672.0,206606544.0
2024-07-01,6,Microwave Cookers,1588580736.0,203858720.0
2024-08-01,6,Microwave Cookers,1650062720.0,226223952.0
2024-09-01,6,Microwave Cookers,1458921216.0,194208960.0
2024-10-01,6,Microwave Cookers,1548680320.0,197791632.0
2024-11-01,6,Microwave Cookers,1580606080.0,201870720.0
2024-12-01,6,Microwave Cookers,1578525056.0,205493520.0
2024-01-01,7,Kitchen Ventilation Systems,1000000000.0,110236592.0
2024-02-01,7,Kitchen Ventilation Systems,1000000000.0,114985224.0
2024-03-01,7,Kitchen Ventilation Systems,1000000000.0,113439912.0
2024-04-01,7,Kitchen Ventilation Systems,1000000000.0,112471880.0
2024-05-01,7,Kitchen Ventilation Systems,1000000000.0,120096032.0
2024-06-01,7,Kitchen Ventilation Systems,1000000000.0,113240792.0
2024-07-01,7,Kitchen Ventilation Systems,1000000000.0,101085960.0
2024-08-01,7,Kitchen Ventilation Systems,1000000000.0,111926320.0
2024-09-01,7,Kitchen Ventilation Systems,1000000000.0,111474464.0
2024-10-01,7,Kitchen Ventilation Systems,1000000000.0,112453776.0
2024-11-01,7,Kitchen Ventilation Systems,1000000000.0,108552040.0
2024-12-01,7,Kitchen Ventilation Systems,1000000000.0,103495096.0
2024-01-01,8,Integrated Stovetops,1290543360.0,157402032.0
2024-02-01,8,Integrated Stovetops,1785003776.0,217055808.0
2024-03-01,8,Integrated Stovetops,1810944256.0,156031056.0
2024-04-01,8,Integrated Stovetops,1587306112.0,135761328.0
2024-05-01,8,Integrated Stovetops,1615902592.0,141266752.0
2024-06-01,8,Integrated Stovetops,1261909248.0,135484064.0
2024-07-01,8,Integrated Stovetops,1521033984.0,143993952.0
2024-08-01,8,Integrated Stovetops,1576824448.0,144406368.0
2024-09-01,8,Integrated Stovetops,1585940224.0,142975600.0
2024-10-01,8,Integrated Stovetops,1597171200.0,138019632.0
2024-11-01,8,Integrated Stovetops,1452665088.0,138340160.0
2024-12-01,8,Integrated Stovetops,1413805184.0,137485200.0
2024-01-01,9,Cooking Appliances,1569828864.0,142437104.0
2024-02-01,9,Cooking Appliances,1562341120.0,160419776.0
2024-03-01,9,Cooking Appliances,1488173824.0,187575328.0
2024-04-01,9,Cooking Appliances,1456356992.0,144715216.0
2024-05-01,9,Cooking Appliances,1452924288.0,159777488.0
2024-06-01,9,Cooking Appliances,1491306624.0,148773632.0
2024-07-01,9,Cooking Appliances,1600674048.0,159735920.0
2024-08-01,9,Cooking Appliances,1481170688.0,163582032.0
2024-09-01,9,Cooking Appliances,1364657152.0,173179056.0
2024-10-01,9,Cooking Appliances,1484197504.0,171249248.0
2024-11-01,9,Cooking Appliances,1493636480.0,164370160.0
2024-12-01,9,Cooking Appliances,1502443904.0,161784464.0
2024-01-01,10,Baking Ovens,1489182592.0,140063872.0
2024-02-01,10,Baking Ovens,1458240000.0,154876800.0
2024-03-01,10,Baking Ovens,1323004416.0,139330544.0
2024-04-01,10,Baking Ovens,1434743168.0,133575424.0
2024-05-01,10,Baking Ovens,1289379840.0,117994544.0
2024-06-01,10,Baking Ovens,1236653568.0,124552992.0
2024-07-01,10,Baking Ovens,1376899072.0,133483576.0
2024-08-01,10,Baking Ovens,1536880128.0,133339912.0
2024-09-01,10,Baking Ovens,1532492032.0,139738896.0
2024-10-01,10,Baking Ovens,1391252224.0,144488160.0
2024-11-01,10,Baking Ovens,1547165184.0,134980928.0
2024-12-01,10,Baking Ovens,1248590464.0,154001600.0
2024-01-01,11,Climate Control Units,1000000000.0,132630096.0
2024-02-01,11,Climate Control Units,1000000000.0,137292720.0
2024-03-01,11,Climate Control Units,1000000000.0,132431304.0
2024-04-01,11,Climate Control Units,1000000000.0,145713632.0
2024-05-01,11,Climate Control Units,1000000000.0,140251696.0
2024-06-01,11,Climate Control Units,1000000000.0,141908080.0
2024-07-01,11,Climate Control Units,1000000000.0,134596160.0
2024-08-01,11,Climate Control Units,1000000000.0,140791312.0
2024-09-01,11,Climate Control Units,1000000000.0,137703616.0
2024-10-01,11,Climate Control Units,1000000000.0,141977344.0
2024-11-01,11,Climate Control Units,1000000000.0,143234784.0
2024-12-01,11,Climate Control Units,1000000000.0,144856320.0
2024-01-01,13,Digital Tablets,3067290880.0,453528352.0
2024-02-01,13,Digital Tablets,3322832896.0,451534848.0
2024-03-01,13,Digital Tablets,3696585728.0,441365088.0
2024-04-01,13,Digital Tablets,3196440576.0,389814496.0
2024-05-01,13,Digital Tablets,3442341120.0,432195552.0
2024-06-01,13,Digital Tablets,2888438528.0,377932448.0
2024-07-01,13,Digital Tablets,2620055296.0,360115104.0
2024-08-01,13,Digital Tablets,2596664320.0,346496704.0
2024-09-01,13,Digital Tablets,3101536512.0,427772736.0
2024-10-01,13,Digital Tablets,3232733440.0,450538624.0
2024-11-01,13,Digital Tablets,3443364096.0,454552704.0
2024-12-01,13,Digital Tablets,3168210432.0,391888992.0
2024-01-01,14,Display Screens,1411476480.0,595379392.0
2024-02-01,14,Display Screens,1349358848.0,600194304.0
2024-03-01,14,Display Screens,1374131456.0,591375872.0
2024-04-01,14,Display Screens,1369574272.0,531465760.0
2024-05-01,14,Display Screens,1340675328.0,521939008.0
2024-06-01,14,Display Screens,1399463808.0,583576128.0
2024-07-01,14,Display Screens,1543236352.0,626793216.0
2024-08-01,14,Display Screens,1530099712.0,496112416.0
2024-09-01,14,Display Screens,1360948352.0,512970880.0
2024-10-01,14,Display Screens,1290176256.0,532755936.0
2024-11-01,14,Display Screens,1374856320.0,513459872.0
2024-12-01,14,Display Screens,1279319808.0,535501536.0
2024-01-01,15,Mobile Phones & Refurbished Devices,37589745664.0,2164221696.0
2024-02-01,15,Mobile Phones & Refurbished Devices,41036263424.0,2166008576.0
2024-03-01,15,Mobile Phones & Refurbished Devices,34712154112.0,2019801728.0
2024-04-01,15,Mobile Phones & Refurbished Devices,44113432576.0,2150743552.0
2024-05-01,15,Mobile Phones & Refurbished Devices,35561005056.0,1807661952.0
2024-06-01,15,Mobile Phones & Refurbished Devices,35321401344.0,2279445248.0
2024-07-01,15,Mobile Phones & Refurbished Devices,37940355072.0,2254399488.0
2024-08-01,15,Mobile Phones & Refurbished Devices,44261462016.0,2475941120.0
2024-09-01,15,Mobile Phones & Refurbished Devices,39250509824.0,2057094784.0
2024-10-01,15,Mobile Phones & Refurbished Devices,43633164288.0,2391656704.0
2024-11-01,15,Mobile Phones & Refurbished Devices,36081438720.0,2155649792.0
2024-12-01,15,Mobile Phones & Refurbished Devices,37723496448.0,2316781824.0
2024-01-01,16,Flat-Screen TVs,9567973376.0,747900928.0
2024-02-01,16,Flat-Screen TVs,12109982720.0,1004647360.0
2024-03-01,16,Flat-Screen TVs,11898859520.0,1065083904.0
2024-04-01,16,Flat-Screen TVs,10325141504.0,987764800.0
2024-05-01,16,Flat-Screen TVs,11286039552.0,861441856.0
2024-06-01,16,Flat-Screen TVs,9503785984.0,674839616.0
2024-07-01,16,Flat-Screen TVs,9363723264.0,885120832.0
2024-08-01,16,Flat-Screen TVs,10643823616.0,1179776384.0
2024-09-01,16,Flat-Screen TVs,12131595264.0,1177784448.0
2024-10-01,16,Flat-Screen TVs,10777509888.0,1038195200.0
